season,round,race_name,circuit,driver,team,grid,position,points,status,won,dnf,driver_avg_finish_last3,driver_circuit_win_rate,driver_dnf_rate,team_avg_points_last3,cumulative_points,driver_championship_pos,gap_to_leader,regulation_era,home_race
2025,23,Qatar Grand Prix,losail,albon,Williams,14,11.0,0.0,Finished,0,0,13.0,0.0,0.18110236220472442,3.3333333333333335,70.0,8.0,297.0,2,0
2025,24,Abu Dhabi Grand Prix,yas_marina,albon,Williams,17,16.0,0.0,Finished,0,0,12.666666666666666,0.0,0.1796875,8.333333333333334,70.0,8.0,309.0,2,0
2026,1,,albert_park,albon,williams,15,12.0,0.0,Lapped,0,0,14.333333333333334,0.0,0.17829457364341086,,0.0,8.0,324.0,3,0
2026,2,,shanghai,albon,williams,22,22.0,0.0,Did not start,0,1,13.0,0.0,0.17692307692307693,0.0,0.0,11.0,25.0,3,0
2026,3,,suzuka,albon,williams,17,20.0,0.0,Lapped,0,0,16.666666666666668,0.0,0.183206106870229,1.0,0.0,15.0,43.0,3,0
2026,4,,miami,albon,williams,15,10.0,1.0,Finished,0,0,18.0,0.0,0.18181818181818182,0.6666666666666666,1.0,17.0,68.0,3,0
2026,5,,villeneuve,albon,williams,18,21.0,0.0,Retired,0,1,17.333333333333332,0.0,0.18045112781954886,1.6666666666666667,1.0,16.0,92.0,3,0
2010,1,Bahrain Grand Prix,bahrain,alguersuari,Toro Rosso,18,13.0,0.0,Finished,0,0,,,,,0.0,,,0,0
2010,2,Australian Grand Prix,albert_park,alguersuari,Toro Rosso,17,11.0,0.0,Finished,0,0,13.0,,0.0,0.0,0.0,11.0,25.0,0,0
2010,3,Malaysian Grand Prix,sepang,alguersuari,Toro Rosso,14,9.0,2.0,Finished,0,0,12.0,,0.0,0.0,2.0,12.0,37.0,0,0
2010,4,Chinese Grand Prix,shanghai,alguersuari,Toro Rosso,12,13.0,0.0,Finished,0,0,11.0,,0.0,0.6666666666666666,2.0,13.0,37.0,0,0
2010,5,Spanish Grand Prix,catalunya,alguersuari,Toro Rosso,15,10.0,1.0,+1 Lap,0,0,11.0,,0.0,0.6666666666666666,3.0,14.0,58.0,0,0
2010,6,Monaco Grand Prix,monaco,alguersuari,Toro Rosso,17,11.0,0.0,Finished,0,0,10.666666666666666,,0.0,1.0,3.0,14.0,67.0,0,0
2010,7,Turkish Grand Prix,istanbul,alguersuari,Toro Rosso,16,12.0,0.0,Finished,0,0,11.333333333333334,,0.0,0.6666666666666666,3.0,14.0,75.0,0,0
2010,8,Canadian Grand Prix,villeneuve,alguersuari,Toro Rosso,16,12.0,0.0,+1 Lap,0,0,11.0,,0.0,0.6666666666666666,3.0,14.0,90.0,0,0
2010,9,European Grand Prix,valencia,alguersuari,Toro Rosso,17,13.0,0.0,Finished,0,0,11.666666666666666,,0.0,1.6666666666666667,3.0,15.0,106.0,0,0
2010,10,British Grand Prix,silverstone,alguersuari,Toro Rosso,17,20.0,0.0,Brakes,0,1,12.333333333333334,,0.0,2.0,3.0,16.0,124.0,0,0
2010,11,German Grand Prix,hockenheimring,alguersuari,Toro Rosso,15,15.0,0.0,+1 Lap,0,0,15.0,,0.1,2.0,3.0,16.0,142.0,0,0
2010,12,Hungarian Grand Prix,hungaroring,alguersuari,Toro Rosso,17,20.0,0.0,Engine,0,1,16.0,,0.09090909090909091,0.6666666666666666,3.0,16.0,154.0,0,0
2010,13,Belgian Grand Prix,spa,alguersuari,Toro Rosso,11,13.0,0.0,Finished,0,0,18.333333333333332,,0.16666666666666666,0.0,3.0,18.0,158.0,0,0
2010,14,Italian Grand Prix,monza,alguersuari,Toro Rosso,15,15.0,0.0,+1 Lap,0,0,16.0,,0.15384615384615385,0.0,3.0,18.0,179.0,0,0
2010,15,Singapore Grand Prix,marina_bay,alguersuari,Toro Rosso,11,12.0,0.0,+1 Lap,0,0,16.0,,0.14285714285714285,0.0,3.0,18.0,184.0,0,0
2010,16,Japanese Grand Prix,suzuka,alguersuari,Toro Rosso,16,11.0,0.0,+1 Lap,0,0,13.333333333333334,,0.13333333333333333,0.0,3.0,17.0,199.0,0,0
2010,17,Korean Grand Prix,yeongam,alguersuari,Toro Rosso,15,11.0,0.0,Finished,0,0,12.666666666666666,,0.125,0.3333333333333333,3.0,18.0,217.0,0,0
2010,18,Brazilian Grand Prix,interlagos,alguersuari,Toro Rosso,14,11.0,0.0,+1 Lap,0,0,11.333333333333334,,0.11764705882352941,0.3333333333333333,3.0,18.0,228.0,0,0
