season,round,race_name,circuit,driver,team,grid,position,points,status
2010,12,Hungarian Grand Prix,hungaroring,barrichello,Williams,12,10,1.0,+1 Lap
2010,12,Hungarian Grand Prix,hungaroring,michael_schumacher,Mercedes,14,11,0.0,+1 Lap
2010,12,Hungarian Grand Prix,hungaroring,buemi,Toro Rosso,15,12,0.0,+1 Lap
2010,12,Hungarian Grand Prix,hungaroring,liuzzi,Force India,16,13,0.0,+1 Lap
2010,12,Hungarian Grand Prix,hungaroring,kovalainen,Lotus,19,14,0.0,+3 Laps
2010,12,Hungarian Grand Prix,hungaroring,trulli,Lotus,20,15,0.0,+3 Laps
2010,12,Hungarian Grand Prix,hungaroring,glock,Virgin,18,16,0.0,+3 Laps
2010,12,Hungarian Grand Prix,hungaroring,bruno_senna,HRT,22,17,0.0,+3 Laps
2010,12,Hungarian Grand Prix,hungaroring,grassi,Virgin,21,18,0.0,+4 Laps
2010,12,Hungarian Grand Prix,hungaroring,yamamoto,HRT,24,19,0.0,+4 Laps
2010,12,Hungarian Grand Prix,hungaroring,hamilton,McLaren,5,\N,0.0,Gearbox
2010,12,Hungarian Grand Prix,hungaroring,kubica,Renault,8,\N,0.0,Retired
2010,12,Hungarian Grand Prix,hungaroring,rosberg,Mercedes,6,\N,0.0,Wheel
2010,12,Hungarian Grand Prix,hungaroring,sutil,Force India,13,\N,0.0,Collision
2010,12,Hungarian Grand Prix,hungaroring,alguersuari,Toro Rosso,17,\N,0.0,Engine
2010,13,Belgian Grand Prix,spa,hamilton,McLaren,2,1,25.0,Finished
2010,13,Belgian Grand Prix,spa,webber,Red Bull,1,2,18.0,Finished
2010,13,Belgian Grand Prix,spa,kubica,Renault,3,3,15.0,Finished
2010,13,Belgian Grand Prix,spa,massa,Ferrari,6,4,12.0,Finished
2010,13,Belgian Grand Prix,spa,sutil,Force India,8,5,10.0,Finished
2010,13,Belgian Grand Prix,spa,rosberg,Mercedes,14,6,8.0,Finished
2010,13,Belgian Grand Prix,spa,michael_schumacher,Mercedes,21,7,6.0,Finished
2010,13,Belgian Grand Prix,spa,kobayashi,Sauber,17,8,4.0,Finished
2010,13,Belgian Grand Prix,spa,petrov,Renault,23,9,2.0,Finished
2010,13,Belgian Grand Prix,spa,liuzzi,Force India,12,10,1.0,Finished
2010,13,Belgian Grand Prix,spa,rosa,Sauber,24,11,0.0,Finished
2010,13,Belgian Grand Prix,spa,buemi,Toro Rosso,16,12,0.0,Finished
2010,13,Belgian Grand Prix,spa,alguersuari,Toro Rosso,11,13,0.0,Finished
2010,13,Belgian Grand Prix,spa,hulkenberg,Williams,9,14,0.0,+1 Lap
2010,13,Belgian Grand Prix,spa,vettel,Red Bull,4,15,0.0,+1 Lap
2010,13,Belgian Grand Prix,spa,kovalainen,Lotus,13,16,0.0,+1 Lap
2010,13,Belgian Grand Prix,spa,grassi,Virgin,22,17,0.0,+1 Lap
2010,13,Belgian Grand Prix,spa,glock,Virgin,20,18,0.0,+1 Lap
2010,13,Belgian Grand Prix,spa,trulli,Lotus,15,19,0.0,+1 Lap
2010,13,Belgian Grand Prix,spa,yamamoto,HRT,19,20,0.0,+2 Laps
2010,13,Belgian Grand Prix,spa,alonso,Ferrari,10,\N,0.0,Accident
2010,13,Belgian Grand Prix,spa,button,McLaren,5,\N,0.0,Collision
2010,13,Belgian Grand Prix,spa,bruno_senna,HRT,18,\N,0.0,Retired
2010,13,Belgian Grand Prix,spa,barrichello,Williams,7,\N,0.0,Collision
2010,14,Italian Grand Prix,monza,alonso,Ferrari,1,1,25.0,Finished
2010,14,Italian Grand Prix,monza,button,McLaren,2,2,18.0,Finished
2010,14,Italian Grand Prix,monza,massa,Ferrari,3,3,15.0,Finished
2010,14,Italian Grand Prix,monza,vettel,Red Bull,6,4,12.0,Finished
2010,14,Italian Grand Prix,monza,rosberg,Mercedes,7,5,10.0,Finished
2010,14,Italian Grand Prix,monza,webber,Red Bull,4,6,8.0,Finished
